K1,K2,K3,K4,K5,K6,K7,K8,score_class
-259806642.526625,-259808540.85431,487558816.583051,730963.545912,-458.993464,-488285637.063431,-394.907584,1.732051,1
-294323870.738837,-294552213.925002,357359816.060353,741440.721247,-66219.766475,-358177538.031216,-190676.277253,109120.932928,1
-259735361.707691,-259876941.272752,266044374.094768,1002095.315227,-49699.465872,-267065381.672763,-395932.958204,330823.436296,1
-259774291.281642,-259836970.736266,230983784.223714,385460.979021,-29957.550768,-231377983.39906,-24865.321393,1.732051,1
-259682809.554138,-259911641.178631,313461599.756455,953173.540167,-65821.394789,-314489906.196553,-191466.092421,109120.932928,1
-259771653.368262,-259842269.079686,197515832.390728,282442.061089,-30761.222342,-197802074.571289,-32950.534563,1.732051,1
-259803443.428784,-259811455.89582,206840340.037631,58181.318677,-1603.879048,-206900243.014811,-3252.791417,1.732051,0
-259777899.143474,-259835647.449449,144843526.47376,288083.350569,-25940.924945,-145136275.969204,-58714.790326,32910.697395,0
-173014814.975676,-173345110.136476,137945161.282746,386316.61212,-119514.969824,-138460749.506889,-230922.209818,142029.898271,0
-259768355.543524,-259845443.928816,337732661.44604,418371.676416,-18759.842297,-338170691.899122,-116993.103848,81408.120007,1
-259784016.746926,-259830255.575285,107257138.871553,175422.105791,-21749.361991,-107434795.322885,-21056.541668,1.732051,0
-311731800.614936,-311805816.342096,214844226.493744,92266.346519,-19722.862546,-214954925.324957,-85809.261109,50231.20547,1
-259794698.304256,-259819005.90529,219267646.965314,185462.804322,-4998.698631,-219457450.28896,-9522.81534,1.732051,0
-259771038.490225,-259844014.9869,286167969.111547,335505.169629,-19237.88832,-286520954.137926,-70366.296108,34642.748202,1
-259802071.644544,-259812564.408336,227874463.771643,207163.66889,-2334.804489,-228081921.889171,-35041.119888,31178.646587,0
-259721370.201267,-259867920.752146,230960883.047937,481019.954126,-64052.970915,-231509820.178329,-33823.48817,1.732051,1
-259774301.673946,-259839146.19208,126588232.309277,313471.751306,-31235.804264,-126905710.294101,-86313.287894,57159.408701,0
-259802232.725269,-259812209.337921,37027667.848854,31313.74655,-2391.962165,-37061501.729329,-3571.488765,1.732051,0
-258013580.22936,-258136465.770055,111611078.124977,181001.041442,-35732.20816,-111818440.97971,-59579.083679,1.732051,1
-259769093.397168,-259844669.702105,60524724.529959,103166.142251,-36116.723439,-60631656.150666,-76707.334115,41570.951432,0
-251136320.077437,-251157425.116527,193127255.585254,87267.647889,-6181.689332,-193218155.343686,-27794.219309,19054.290934,1
-303075916.541279,-303139966.048092,230737320.322001,678666.003828,-20947.422467,-231425839.962873,-28804.00493,1.732051,1
-251142316.437332,-251151595.033508,374755881.38842,207203.506059,-2293.235269,-374965946.242413,-32496.737252,29446.595779,1
-245945363.807153,-245955605.423578,277473666.418927,294341.250137,-2788.6018,-277770420.415839,-2485.492909,1.732051,0
-249410819.886022,-249418943.204309,204552387.523373,121622.875657,-2222.221186,-204674481.516849,-109353.027736,107388.88212,0
-242441097.665838,-242532191.413961,349111904.430063,579992.801372,-23450.235884,-349712780.568022,-62916.745585,19054.290934,1
-242459680.838953,-242512782.052611,329795961.240753,483903.81872,-19080.271696,-330287678.340666,-27021.724649,3465.833666,0
